age,gender,split,final
46,M,1:24:12,2:51:29
41,W,1:24:22,2:51:30
40,M,1:22:24,2:51:37
37,W,1:22:08,2:51:26
33,M,1:24:29,2:52:05
28,M,1:20:49,2:51:33
39,M,1:25:31,3:12:49
27,M,1:23:53,2:51:39
38,M,1:23:51,2:51:48
28,M,1:23:53,2:51:40
39,M,1:24:13,2:51:44
26,M,1:25:57,2:52:13
37,M,1:24:47,2:51:46
39,M,1:23:01,2:52:01
48,M,1:24:06,2:51:38
33,M,1:23:44,2:51:58
31,M,1:25:36,2:51:46
41,M,1:23:06,2:51:45
43,M,1:24:58,2:51:49
46,M,1:24:12,3:08:52
38,M,1:23:13,2:51:52
47,M,1:21:35,2:51:52
23,W,1:25:00,2:51:55
45,M,1:23:52,2:52:50
53,M,1:24:25,2:51:57
39,M,1:24:30,2:52:12
40,M,1:23:12,2:52:10
35,M,1:21:39,2:52:10
39,W,1:24:57,2:52:16
31,M,1:22:50,2:52:23
40,M,1:24:26,2:52:09
49,M,1:24:51,2:52:29
26,M,1:26:02,2:52:30
44,M,1:25:03,2:52:28
30,M,1:23:08,3:09:24
40,M,1:23:38,2:52:36
33,M,1:21:57,2:52:33
32,M,1:24:07,2:52:42
37,M,1:24:57,2:52:29
44,M,1:22:07,3:09:35
35,M,1:25:41,3:09:36
51,M,1:22:51,2:52:34
22,M,1:20:09,2:52:39
28,M,1:22:50,2:52:37
28,M,1:22:31,2:52:32
29,M,1:21:21,2:52:34
24,M,1:26:14,2:52:44
50,M,1:22:19,2:52:44
49,M,1:25:12,2:52:40
32,M,1:26:28,2:52:46
28,W,1:25:11,2:52:41
40,M,1:20:19,2:52:39
37,M,1:15:23,2:52:36
43,W,1:24:27,2:52:36
32,W,1:26:27,2:52:43
42,M,1:24:51,2:52:59
51,M,1:24:43,2:52:53
34,M,1:26:40,2:52:58
38,M,1:23:57,2:52:52
32,M,1:26:53,2:53:20
48,M,1:24:49,2:52:46
38,M,1:23:45,2:52:56
32,W,1:24:34,2:52:43
42,M,1:20:02,2:53:04
40,M,1:23:42,2:53:00
38,M,1:22:18,2:52:52
34,M,1:21:12,2:54:03
34,M,1:22:28,2:52:59
29,M,1:22:21,2:52:54
41,M,1:21:47,2:52:59
40,M,1:26:28,2:53:04
27,M,1:25:09,2:53:34
39,M,1:25:01,2:53:01
24,M,1:23:51,2:53:26
38,M,1:21:03,2:52:57
30,M,1:24:03,2:53:19
26,M,1:20:26,2:53:07
42,M,1:24:34,2:53:12
29,M,1:24:34,2:53:21
45,M,1:23:07,2:53:29
43,M,1:23:43,2:53:49
40,M,1:23:45,2:53:23
28,M,1:27:12,2:53:24
45,M,1:25:07,2:53:17
33,M,1:25:15,2:53:16
33,M,1:24:14,3:10:23
29,M,1:29:35,2:56:08
34,M,1:23:59,2:53:22
43,M,1:26:07,2:53:59
25,M,1:23:33,2:53:33
42,M,1:23:24,2:54:35
29,M,1:26:34,2:53:44
47,M,1:21:44,2:53:37
45,M,1:24:23,2:53:34
28,M,1:22:19,2:53:38
37,M,1:22:39,2:53:46
52,M,1:24:54,2:53:42
45,M,1:23:20,2:54:18
44,M,1:24:26,2:53:38
40,M,1:24:52,2:53:56
21,M,1:26:18,2:53:59
31,M,1:27:10,2:54:20
49,M,1:22:35,2:53:55
31,M,1:23:18,2:54:07
52,M,1:24:49,2:54:44
38,M,1:24:09,2:53:57
43,M,1:25:03,2:53:58
41,M,1:23:51,2:54:28
28,M,1:18:49,2:54:01
31,M,1:23:02,2:54:04
30,M,1:28:09,2:54:02
37,M,1:24:44,2:54:11
39,M,1:20:30,2:54:21
46,M,1:22:52,2:54:00
38,M,1:25:47,2:54:11
40,M,1:25:01,2:54:38
33,W,1:24:58,2:54:19
31,M,1:25:58,2:54:37
41,M,1:25:14,2:54:22
38,M,1:22:20,2:55:00
40,W,1:25:25,2:54:02
43,M,1:27:13,2:54:27
29,W,1:25:01,2:54:09
37,M,1:27:16,2:55:12
34,M,1:24:30,3:11:16
31,M,1:24:52,2:55:53
40,M,1:23:21,2:54:13
32,M,1:23:06,2:54:17
24,W,1:26:18,2:54:16
32,M,1:22:25,2:54:35
28,W,1:28:19,2:54:18
26,M,1:22:29,2:54:24
37,M,1:25:09,2:54:42
31,M,1:23:21,2:54:48
42,M,1:26:01,2:54:44
46,M,1:25:33,2:54:26
34,M,1:25:27,2:54:44
48,M,1:26:20,2:54:49
43,M,1:22:39,2:54:41
31,M,1:25:46,2:54:43
27,W,1:24:58,2:54:39
44,M,1:25:00,2:54:49
24,M,1:24:08,2:54:56
29,M,1:23:43,2:54:48
34,M,1:26:24,2:55:19
37,M,1:25:39,2:55:12
44,M,1:24:34,2:54:50
43,M,1:22:03,2:54:55
43,M,1:24:52,2:55:35
34,M,1:25:34,2:55:10
40,M,1:22:23,2:55:02
32,M,1:24:26,2:55:33
27,M,1:23:56,2:55:05
33,M,1:24:49,2:55:11
42,M,1:26:17,2:55:41
34,M,1:23:23,2:55:19
28,M,1:30:19,2:56:45
26,W,1:26:34,2:55:03
43,M,1:23:08,2:55:29
41,M,1:24:49,2:55:18
38,M,1:22:46,2:55:13
40,M,1:23:29,2:55:29
44,M,1:25:43,2:55:35
47,M,1:26:01,2:55:13
29,M,1:18:05,2:55:09
37,M,1:25:44,2:55:24
40,M,1:26:38,2:55:27
32,M,1:30:34,3:14:00
32,M,1:26:06,2:55:40
29,W,1:26:58,2:55:21
25,M,1:27:41,2:55:20
40,W,1:24:12,2:55:16
25,M,1:20:47,2:55:24
33,M,1:22:02,2:55:28
44,M,1:23:39,2:55:44
39,M,1:26:43,2:55:37
26,M,1:26:07,2:55:49
